iter	Passed	Remaining
1336	21112	18365
1337	21125	18347
1338	21143	18332
1339	21157	18315
1340	21172	18299
1341	21186	18281
1342	21203	18266
1343	21220	18252
1344	21234	18235
1345	21252	18220
1346	21268	18205
1347	21284	18189
1348	21302	18176
1349	21316	18158
1350	21333	18143
1351	21351	18129
1352	21369	18115
1353	21387	18101
1354	21402	18085
1355	21419	18070
1356	21434	18054
1357	21453	18041
1358	21470	18026
1359	21486	18011
1360	21501	17994
1361	21518	17979
1362	21534	17963
1363	21548	17946
1364	21563	17930
1365	21577	17912
1366	21593	17897
1367	21611	17883
1368	21626	17866
1369	21644	17852
1370	21661	17838
1371	21678	17822
1372	21691	17805
1373	21707	17789
1374	21721	17771
1375	21739	17757
1376	21755	17742
1377	21770	17725
1378	21786	17710
1379	21803	17695
1380	21817	17678
1381	21835	17664
1382	21851	17648
1383	21869	17634
1384	21885	17619
1385	21902	17604
1386	21916	17586
1387	21931	17570
1388	21945	17553
1389	21962	17538
1390	21975	17520
1391	21990	17503
1392	22008	17489
1393	22026	17476
1394	22043	17460
1395	22059	17445
1396	22075	17429
1397	22089	17412
1398	22106	17397
1399	22123	17382
1400	22141	17368
1401	22155	17351
1402	22173	17337
1403	22192	17323
1404	22208	17308
1405	22223	17291
1406	22240	17276
1407	22253	17259
1408	22270	17244
1409	22285	17228
1410	22303	17214
1411	22317	17196
1412	22332	17180
1413	22344	17161
1414	22359	17145
1415	22376	17129
1416	22391	17113
1417	22405	17096
1418	22423	17082
1419	22436	17064
1420	22454	17050
1421	22471	17034
1422	22486	17018
1423	22504	17004
1424	22518	16987
1425	22534	16971
1426	22553	16958
1427	22570	16943
1428	22585	16927
1429	22602	16912
1430	22616	16894
1431	22632	16879
1432	22646	16862
1433	22663	16847
1434	22676	16829
1435	22693	16814
1436	22708	16798
1437	22724	16782
1438	22739	16766
1439	22755	16750
1440	22772	16735
1441	22786	16718
1442	22800	16701
1443	22818	16687
1444	22835	16672
1445	22852	16657
1446	22867	16640
1447	22884	16625
1448	22897	16607
1449	22913	16592
1450	22927	16575
1451	22943	16559
1452	22960	16545
1453	22971	16525
1454	22986	16509
1455	23003	16494
1456	23018	16478
1457	23033	16461
1458	23050	16446
1459	23068	16432
1460	23083	16416
1461	23099	16400
1462	23115	16384
1463	23129	16367
1464	23145	16352
1465	23162	16337
1466	23177	16320
1467	23195	16306
1468	23214	16292
1469	23233	16279
1470	23250	16264
1471	23269	16250
1472	23283	16233
1473	23300	16218
1474	23318	16204
1475	23336	16189
1476	23351	16173
1477	23365	16156
1478	23381	16141
1479	23397	16125
1480	23414	16110
1481	23428	16093
1482	23444	16077
1483	23460	16061
1484	23475	16045
1485	23490	16029
1486	23508	16014
1487	23524	15999
1488	23542	15984
1489	23558	15969
1490	23572	15952
1491	23587	15935
1492	23601	15918
1493	23615	15901
1494	23631	15885
1495	23645	15869
1496	23660	15852
1497	23674	15835
1498	23690	15820
1499	23707	15804
1500	23723	15789
1501	23737	15772
1502	23752	15756
1503	23771	15742
1504	23784	15724
1505	23800	15709
1506	23817	15694
1507	23833	15678
1508	23850	15662
1509	23862	15644
1510	23879	15629
1511	23897	15615
1512	23915	15601
1513	23932	15586
1514	23948	15570
1515	23962	15553
1516	23977	15537
1517	23993	15521
1518	24010	15506
1519	24023	15489
1520	24039	15473
1521	24053	15455
1522	24070	15441
1523	24083	15423
1524	24101	15409
1525	24117	15393
1526	24134	15378
1527	24152	15363
1528	24168	15348
1529	24186	15333
1530	24202	15318
1531	24216	15301
1532	24230	15284
1533	24244	15267
1534	24259	15251
1535	24274	15234
1536	24291	15219
1537	24309	15205
1538	24324	15189
1539	24341	15173
1540	24358	15159
1541	24372	15141
1542	24388	15126
1543	24402	15109
1544	24418	15093
1545	24433	15077
1546	24451	15063
1547	24467	15047
1548	24482	15030
1549	24498	15015
1550	24514	14999
1551	24532	14984
1552	24546	14968
1553	24563	14953
1554	24580	14938
1555	24595	14921
1556	24612	14906
1557	24630	14892
1558	24646	14876
1559	24660	14859
1560	24677	14844
1561	24691	14827
1562	24707	14812
1563	24720	14794
1564	24736	14778
1565	24751	14762
1566	24764	14745
1567	24779	14728
1568	24794	14712
1569	24811	14697
1570	24826	14681
1571	24839	14663
1572	24853	14646
1573	24866	14629
1574	24882	14613
1575	24896	14596
1576	24910	14579
1577	24924	14562
1578	24941	14547
1579	24958	14532
1580	24972	14515
1581	24991	14502
1582	25010	14488
1583	25029	14474
1584	25047	14459
1585	25062	14443
1586	25081	14429
1587	25094	14411
1588	25112	14397
1589	25131	14383
1590	25145	14366
1591	25159	14349
1592	25176	14334
1593	25190	14317
1594	25204	14300
1595	25223	14286
1596	25238	14270
1597	25258	14257
1598	25279	14244
1599	25295	14228
1600	25312	14213
1601	25327	14197
1602	25343	14181
1603	25361	14167
1604	25379	14152
1605	25396	14137
1606	25410	14120
1607	25425	14104
1608	25440	14087
1609	25457	14072
1610	25472	14056
1611	25486	14039
1612	25504	14025
1613	25517	14007
1614	25535	13993
1615	25551	13977
1616	25565	13960
1617	25581	13945
1618	25595	13927
1619	25608	13910
1620	25623	13894
1621	25638	13878
1622	25657	13864
1623	25674	13848
1624	25691	13834
1625	25708	13818
1626	25722	13801
1627	25738	13786
1628	25754	13770
1629	25771	13755
1630	25789	13740
1631	25801	13722
1632	25819	13708
1633	25838	13693
1634	25855	13678
1635	25872	13663
1636	25886	13646
1637	25902	13631
1638	25918	13615
1639	25934	13599
1640	25951	13584
1641	25967	13569
1642	25986	13554
1643	26005	13540
1644	26024	13526
1645	26044	13512
1646	26062	13498
1647	26079	13482
1648	26096	13467
1649	26114	13452
1650	26127	13435
1651	26151	13424
1652	26177	13413
1653	26197	13399
1654	26218	13386
1655	26237	13372
1656	26251	13355
1657	26268	13340
1658	26286	13325
1659	26304	13310
1660	26322	13295
1661	26339	13280
1662	26355	13264
1663	26373	13250
1664	26391	13235
1665	26405	13218
1666	26424	13204
